danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.37,0.174,4,-19.316,0,0.0377,0.95,0.0029,0.11,0.181,92.75,audio_features,3pC8tUjIZPORslYYmJbJcz,spotify:track:3pC8tUjIZPORslYYmJbJcz,https://api.spotify.com/v1/tracks/3pC8tUjIZPORslYYmJbJcz,https://api.spotify.com/v1/audio-analysis/3pC8tUjIZPORslYYmJbJcz,247493,4,58
0.416,0.192,11,-12.525,1,0.034,0.911,1.5e-05,0.107,0.222,102.49,audio_features,3CiZBMNMkRm8CzPD4ZLM6C,spotify:track:3CiZBMNMkRm8CzPD4ZLM6C,https://api.spotify.com/v1/tracks/3CiZBMNMkRm8CzPD4ZLM6C,https://api.spotify.com/v1/audio-analysis/3CiZBMNMkRm8CzPD4ZLM6C,154200,4,57
0.637,0.263,5,-9.094,0,0.0399,0.873,0.0,0.164,0.487,97.423,audio_features,1ulDt6ySVbMbzZCBO6hSfb,spotify:track:1ulDt6ySVbMbzZCBO6hSfb,https://api.spotify.com/v1/tracks/1ulDt6ySVbMbzZCBO6hSfb,https://api.spotify.com/v1/audio-analysis/1ulDt6ySVbMbzZCBO6hSfb,219760,4,57
0.603,0.575,0,-10.325,1,0.0285,0.811,0.00183,0.12,0.673,95.116,audio_features,0Dp07EA5ybveKSUE27CuEd,spotify:track:0Dp07EA5ybveKSUE27CuEd,https://api.spotify.com/v1/tracks/0Dp07EA5ybveKSUE27CuEd,https://api.spotify.com/v1/audio-analysis/0Dp07EA5ybveKSUE27CuEd,196173,1,57
0.521,0.22,9,-10.202,1,0.0314,0.647,0.00814,0.179,0.135,104.03,audio_features,7d0XkI4iJ32nxeFAHFXbLQ,spotify:track:7d0XkI4iJ32nxeFAHFXbLQ,https://api.spotify.com/v1/tracks/7d0XkI4iJ32nxeFAHFXbLQ,https://api.spotify.com/v1/audio-analysis/7d0XkI4iJ32nxeFAHFXbLQ,210507,4,57
0.629,0.585,1,-8.563,1,0.0269,0.614,0.0725,0.129,0.523,102.984,audio_features,1WXVfFRD89EtVURD4Tbixo,spotify:track:1WXVfFRD89EtVURD4Tbixo,https://api.spotify.com/v1/tracks/1WXVfFRD89EtVURD4Tbixo,https://api.spotify.com/v1/audio-analysis/1WXVfFRD89EtVURD4Tbixo,253848,5,57
0.417,0.425,2,-10.99,1,0.032,0.807,0.732,0.097,0.506,88.272,audio_features,3RPerpXuNznZbCuWYEBz5i,spotify:track:3RPerpXuNznZbCuWYEBz5i,https://api.spotify.com/v1/tracks/3RPerpXuNznZbCuWYEBz5i,https://api.spotify.com/v1/audio-analysis/3RPerpXuNznZbCuWYEBz5i,297120,4,57
0.224,0.547,5,-9.906,0,0.042,0.773,0.00305,0.0872,0.291,83.416,audio_features,1wwKY8ICsV9wiCFMpdhPrr,spotify:track:1wwKY8ICsV9wiCFMpdhPrr,https://api.spotify.com/v1/tracks/1wwKY8ICsV9wiCFMpdhPrr,https://api.spotify.com/v1/audio-analysis/1wwKY8ICsV9wiCFMpdhPrr,273893,1,57
0.41,0.461,7,-8.908,1,0.0344,0.596,5.22e-05,0.241,0.565,153.313,audio_features,5E87q3c0yZ5n5m2Fuq2RMZ,spotify:track:5E87q3c0yZ5n5m2Fuq2RMZ,https://api.spotify.com/v1/tracks/5E87q3c0yZ5n5m2Fuq2RMZ,https://api.spotify.com/v1/audio-analysis/5E87q3c0yZ5n5m2Fuq2RMZ,200000,3,56
0.472,0.0528,8,-16.261,1,0.0428,0.931,1.42e-05,0.113,0.193,97.12,audio_features,7jd2h2mIeyKpqkFsrl5EHN,spotify:track:7jd2h2mIeyKpqkFsrl5EHN,https://api.spotify.com/v1/tracks/7jd2h2mIeyKpqkFsrl5EHN,https://api.spotify.com/v1/audio-analysis/7jd2h2mIeyKpqkFsrl5EHN,295266,4,56
